Site_ID,z,area_m,volume_m3
NB-SW,0.4,502,314.91082649230884
NB-SW,0.41000000000000003,508,324.81968811035165
NB-SW,0.42,513,334.0613183593759
NB-SW,0.43,517,342.6141744232176
NB-SW,0.44,518,348.6569060516364
NB-SW,0.45,521,356.52867050170863
NB-SW,0.46,522,362.6561633300786
NB-SW,0.47000000000000003,523,368.8091817474359
NB-SW,0.48,524,374.99002601623556
NB-SW,0.49,524,380.23002601623455
NB-SW,0.5,525,386.4613628387451
NB-SW,0.51,525,391.7113628387459
NB-SW,0.52,525,396.9613628387449
NB-SW,0.53,525,402.2113628387457
NB-SW,0.54,525,407.46136283874466
NB-SW,0.55,525,412.7113628387455
NB-SW,0.56,525,417.96136283874444
NB-SW,0.5700000000000001,525,423.2113628387453
NB-SW,0.58,525,428.4613628387442
NB-SW,0.59,525,433.71136283874506
NB-SW,0.6,525,438.96136283874586
NB-SW,0.61,525,444.21136283874483
NB-SW,0.62,525,449.46136283874563
NB-SW,0.63,525,454.7113628387446
NB-SW,0.64,525,459.9613628387454
NB-SW,0.65,525,465.2113628387444
NB-SW,0.66,525,470.4613628387452
NB-SW,0.67,525,475.711362838746
NB-SW,0.68,525,480.96136283874495
NB-SW,0.6900000000000001,525,486.2113628387458
NB-SW,0.7000000000000001,525,491.4613628387447
NB-SW,0.71,525,496.7113628387456
NB-SW,0.72,525,501.96136283874455
NB-SW,0.73,525,507.21136283874534
NB-SW,0.74,525,512.4613628387443
NB-SW,0.75,525,517.7113628387451
NB-SW,0.76,525,522.9613628387459
NB-SW,0.77,525,528.2113628387449
NB-SW,0.78,525,533.4613628387457
NB-SW,0.79,525,538.7113628387447
NB-SW,0.8,525,543.9613628387455
NB-SW,0.81,525,549.2113628387444
NB-SW,0.8200000000000001,525,554.4613628387452
NB-SW,0.8300000000000001,525,559.7113628387442
NB-SW,0.84,525,564.961362838745
NB-SW,0.85,525,570.2113628387459
NB-SW,0.86,525,575.4613628387448
NB-SW,0.87,525,580.7113628387457
NB-SW,0.88,525,585.9613628387445
NB-SW,0.89,525,591.2113628387455
NB-SW,0.9,525,596.4613628387443
NB-SW,0.91,525,601.7113628387452
NB-SW,0.92,525,606.961362838746
NB-SW,0.93,525,612.211362838745
NB-SW,0.9400000000000001,525,617.4613628387458
NB-SW,0.9500000000000001,525,622.7113628387448
NB-SW,0.96,525,627.9613628387456
NB-SW,0.97,525,633.2113628387445
NB-SW,0.98,525,638.4613628387453
NB-SW,0.99,525,643.7113628387443
NB-SW,1,525,648.9613628387451
NB-SW,1.01,525,654.2113628387459
NB-SW,1.02,525,659.4613628387449
NB-SW,1.03,525,664.7113628387457
NB-SW,1.04,525,669.9613628387447
NB-SW,1.05,525,675.2113628387455
NB-SW,1.06,525,680.4613628387444
NB-SW,1.07,525,685.7113628387452
NB-SW,1.08,525,690.9613628387442
NB-SW,1.09,525,696.211362838745
NB-SW,1.1,525,701.4613628387459
NB-SW,1.11,525,706.7113628387448
NB-SW,1.12,525,711.9613628387457
NB-SW,1.1300000000000001,525,717.2113628387445
NB-SW,1.1400000000000001,525,722.4613628387455
NB-SW,1.1500000000000001,525,727.7113628387443
NB-SW,1.16,525,732.9613628387452
NB-SW,1.17,525,738.211362838746
NB-SW,1.18,525,743.461362838745
NB-SW,1.19,525,748.7113628387458
NB-SW,1.2,525,753.9613628387448
NB-SW,1.21,525,759.2113628387456
NB-SW,1.22,525,764.4613628387445
NB-SW,1.23,525,769.7113628387453
NB-SW,1.24,525,774.9613628387443
NB-SW,1.25,525,780.2113628387451
TA-SW,0,1,0
TA-SW,0.01,2,0.021932144165038636
TA-SW,0.02,8,0.25946346282958643
TA-SW,0.03,15,0.7304355621337795
TA-SW,0.04,20,1.2593658447265454
TA-SW,0.05,25,1.9381618499756037
TA-SW,0.06,32,2.9823226165771644
TA-SW,0.07,36,3.8444686126709087
TA-SW,0.08,42,5.128555641174319
TA-SW,0.09,53,7.475543518066399
TA-SW,0.1,67,10.732552719116187
TA-SW,0.11,77,13.536780090331987
TA-SW,0.12,92,17.833630599975514
TA-SW,0.13,105,22.079339408874596
TA-SW,0.14,123,28.09548542022712
TA-SW,0.15,143,35.24680633544927
TA-SW,0.16,157,41.0884000015259
TA-SW,0.17,172,47.69139503479003
TA-SW,0.18,189,55.44884540557856
TA-SW,0.19,208,64.47607662200917
TA-SW,0.2,227,74.03654899597151
TA-SW,0.21,238,80.90263317108175
TA-SW,0.22,251,88.95185062408449
TA-SW,0.23,268,99.18890155792248
TA-SW,0.24,275,105.19979763030989
TA-SW,0.25,289,114.86281681060791
TA-SW,0.26,299,122.90967010498075
TA-SW,0.27,320,137.09893360137926
TA-SW,0.28,330,145.8688520431521
TA-SW,0.29,342,156.07643287658664
TA-SW,0.3,353,166.04909744262721
TA-SW,0.31,367,178.19951679229698
TA-SW,0.32,382,191.38248657226575
TA-SW,0.33,402,208.29792514800963
TA-SW,0.34,413,219.7336835098266
TA-SW,0.35000000000000003,424,231.51443710327206
TA-SW,0.36,433,242.17504203796364
TA-SW,0.37,448,257.54037834167525
TA-SW,0.38,468,277.1075991058345
TA-SW,0.39,476,287.9972721481326
TA-SW,0.4,482,297.5263269424432
TA-SW,0.41000000000000003,496,313.75859867095954
TA-SW,0.42,511,331.24316894531336
TA-SW,0.43,523,346.61575378417956
TA-SW,0.44,538,364.95705005645823
TA-SW,0.45,555,385.5676898956295
TA-SW,0.46,565,400.2600311279302
TA-SW,0.47000000000000003,574,414.3211920547479
TA-SW,0.48,583,428.6673773193362
TA-SW,0.49,595,446.20201759338283
TA-SW,0.5,612,469.06234073638916
TA-SW,0.51,625,488.4045085906992
TA-SW,0.52,643,513.263038024902
TA-SW,0.53,660,537.6284864425667
TA-SW,0.54,674,559.2938289260859
TA-SW,0.55,687,580.2671829223638
TA-SW,0.56,700,601.6508646011343
TA-SW,0.5700000000000001,710,620.0046426773073
TA-SW,0.58,723,642.1259230041492
TA-SW,0.59,741,670.5174879455566
TA-SW,0.6,753,692.2698734283458
TA-SW,0.61,765,714.3656562805171
TA-SW,0.62,776,735.607254142762
TA-SW,0.63,789,759.6640780639641
TA-SW,0.64,799,780.3007978057866
TA-SW,0.65,808,799.9515478134144
TA-SW,0.66,820,823.808256340027
TA-SW,0.67,832,848.0301250839248
TA-SW,0.68,841,868.540202026367
TA-SW,0.6900000000000001,854,894.8353850936901
TA-SW,0.7000000000000001,864,917.3306463241571
TA-SW,0.71,879,947.1903875732429
TA-SW,0.72,889,970.323766784667
TA-SW,0.73,897,990.8554158782963
TA-SW,0.74,908,1016.0484093856797
TA-SW,0.75,917,1038.577507019043
TA-SW,0.76,930,1067.445403862001
TA-SW,0.77,940,1092.1116598129267
TA-SW,0.78,949,1115.5032565307629
TA-SW,0.79,959,1140.7422536468498
TA-SW,0.8,973,1172.661198043824
TA-SW,0.81,980,1193.6902654647815
TA-SW,0.8200000000000001,991,1221.4728652191166
TA-SW,0.8300000000000001,1003,1251.2385523223859
TA-SW,0.84,1008,1269.6388127517698
TA-SW,0.85,1016,1293.2818914413467
TA-SW,0.86,1034,1334.3096763992303
TA-SW,0.87,1040,1355.0545518875133
TA-SW,0.88,1054,1390.0275788497913
TA-SW,0.89,1066,1421.8754913711555
TA-SW,0.9,1072,1443.301635551451
TA-SW,0.91,1083,1473.974829940796
TA-SW,0.92,1099,1514.1794129180928
TA-SW,0.93,1110,1545.5685174942014
TA-SW,0.9400000000000001,1122,1579.1675936508193
TA-SW,0.9500000000000001,1131,1607.429726791381
TA-SW,0.96,1141,1637.8784440612803
TA-SW,0.97,1152,1670.5810703659045
TA-SW,0.98,1164,1705.574351997376
TA-SW,0.99,1179,1746.8207501983625
TA-SW,1,1191,1782.5418891906738
TA-SW,1.01,1199,1810.5767481231708
TA-SW,1.02,1211,1846.9898345184322
TA-SW,1.03,1227,1891.9943891143812
TA-SW,1.04,1234,1918.7986892318715
TA-SW,1.05,1243,1949.9960979461678
TA-SW,1.06,1247,1970.8823226165755
TA-SW,1.07,1256,2002.555979652405
TA-SW,1.08,1260,2023.73086338043
TA-SW,1.09,1265,2047.2092224121093
TA-SW,1.1,1267,2064.2487194061296
TA-SW,1.11,1268,2079.137614707946
TA-SW,1.12,1269,2094.054549484254
TA-SW,1.1300000000000001,1270,2108.995922660826
TA-SW,1.1400000000000001,1272,2126.247820930482
TA-SW,1.1500000000000001,1272,2138.9678209304793
TA-SW,1.16,1272,2151.687820930481
TA-SW,1.17,1272,2164.407820930483
TA-SW,1.18,1272,2177.1278209304805
TA-SW,1.19,1272,2189.8478209304826
TA-SW,1.2,1272,2202.56782093048
TA-SW,1.21,1272,2215.287820930482
TA-SW,1.22,1272,2228.0078209304793
TA-SW,1.23,1272,2240.7278209304814
TA-SW,1.24,1272,2253.447820930479
TA-SW,1.25,1272,2266.167820930481
DB-SW,0,1,0
DB-SW,0.01,4,0.0545645141601554
DB-SW,0.02,7,0.19784606933593452
DB-SW,0.03,11,0.48548515319823515
DB-SW,0.04,14,0.8261142349243045
DB-SW,0.05,17,1.2539459228515746
DB-SW,0.06,19,1.6499563598632907
DB-SW,0.07,21,2.1080577087402403
DB-SW,0.08,23,2.630476799011232
DB-SW,0.09,27,3.55132358551025
DB-SW,0.1,31,4.608610725402821
DB-SW,0.11,34,5.559467544555645
DB-SW,0.12,38,6.8422504043578805
DB-SW,0.13,41,7.988158302307161
DB-SW,0.14,44,9.224381599426295
DB-SW,0.15,47,10.554452705383317
DB-SW,0.16,52,12.601175613403328
DB-SW,0.17,56,14.46214534759521
DB-SW,0.18,62,17.140656623840314
DB-SW,0.19,65,18.892873382568325
DB-SW,0.2,68,20.726008033752393
DB-SW,0.21,72,23.068185920715393
DB-SW,0.22,79,26.83485305786138
DB-SW,0.23,84,29.903637237548864
DB-SW,0.24,85,31.222381019592305
DB-SW,0.25,87,33.05683422088623
DB-SW,0.26,97,39.07943222045896
DB-SW,0.27,102,42.728139915466265
DB-SW,0.28,106,45.96393459320062
DB-SW,0.29,112,50.47305629730215
DB-SW,0.3,117,54.56083831787117
DB-SW,0.31,120,57.575719070434616
